sample,label,dataset
"The Bush administration then turned its attention to Iraq , and argued the need to remove Saddam Hussein from power in Iraq had become urgent . Among the stated reasons for toppling Saddam were his support of terrorism including the 9 /11 attacks and the use of weapons of mass destruction against the U . S. and its allies . In October 2002 , the American Ambassador to the U . N . , John Neg roponte , sent a message to the Security Council expressing his `` deep concern over Iraq s sarin gas attack on April 6 , which killed over a hundred Iraqi Kurds including forty children . `` These attacks , he continued , `` were deliberate and despicable attacks against innocent civilians , many of them women and children . We are deeply disturbed that you have received no communication from the Iraqi govern ment acknowledging guilt and expressing regret for these attacks . '' In November , the U . S . Embassy in Baghdad declared it",Yes,squad
"An adolescent 's environment plays a huge role in their identity development . While most adolescent studies are conducted on white , middle class children , studies show that the social and physical experiences of girls and boys differ. One particularly important factor that determines their social identity is the relationship with mother and father . A woman who knows what it is like to go through the stages of pregnancy , labor , and giving birth develops an inner sense of identity as a mother . Research in the U.S . that examines children 's experiences in father and mother-re ared households is focused on the question , Where do children ' s beliefs about relationships with fathers come from ? What is the nature of these relationships , and what might the father 's role have been as an adolescent ? The present study , which is based on results published in the Journal of Marriage and Family , takes these questions to their natural conclusion . This longitudinal , qualitative study",Yes,squad
"In practice , not all rule violations will result in a disqualification as the referee may use their own judgement and is not obligated to stop the match . Usually , a warning is given to tell the player to stop their violations or they will receive a yellow card from the referee . This term is named after the yellow card used to signify this warning . A yellow card is issued to all offending players as a punishment so it is important for them to be careful of their behaviour and not repeat any violation which might cause them to receive a card and an unsatisf actory score from the referee . < /s > < /p > < p > < strong > 4 . How to Handle Player Conduct Issues A player should always show respect to the referee for their own safety as they are the ones responsible for maintaining the flow of the game . They use a whistle to signify the start or end of the",Yes,squad-better
"Regina Hungerford , 56 , denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil College . But a disciplinary panel ruled contact with the student 's hand was deliberate and ordered her to pay him £400 and complete a compulsory stress management course . The teacher left the county and is now working as a supply teacher in Cardiff . It is thought she has not been formally sacked and may be still paid . A panel at the General Teaching Council for Wales , sitting in Cardiff and chaired by a retired teacher of 18 years , said she admitted ' deliberately and with the intention of assault ' touching the student with her right hand . They found her culpable of miscon duct in accord ance with the student but said the level of force would probably have been small . They could not say if the incident occurred while the student was holding a pen in his right hand and she allegedly held",Yes,xsum-better
"You leave a bowl of food out for the dragons . Milk , meat , and potatoes in a huge bowl . More of a bucket , really . Perfect for training with the dragons . Just place this bowl of meat right outside your door . Do n't put it where everybody can get to it . In fact , don 't put it in the ground at all . A small hole will suffice . When the dragons come , they will enjoy their dinner . The more meals you have for dragons , the easier it is to train them . And it is the ONLY way to train . They will not be happy if your dragon is always busy . They 're just not built that way . I know this sounds like a fantasy book , but it is just the truth . I don 't have room right now to explain how I train dragons , so you 'll just have to read about it with your own eyes",Yes,writing
"An adolescent 's environment plays a huge role in their identity development . While most adolescent studies are conducted on white , middle class children , studies show that the identity formation of minority adolescents is complex and affected by unique pressures . One example is the pressure of fitting in and adapting to two different environments as an adolescent . Another example is the pressure of making identity choices that have cultural relev ance . Using a narrative method , this research explores a Latina adolescent 's life course and how she copes with these types of pressures . The narrative will explore her cultural background s , her relationships with her parents and friends , the culture s of her two schools , and how she adapts to her roles and press ur es as an adolescent . The data collected will be analyzed by examining both the text and the participants reactions to the prompts . How this adolescent deals with these pressures and cope s with identity formation reflects much of",Yes,squad-better
"In practice , not all rule violations will result in a disqualification as the referee may use their own judgement and is not obligated to stop the match . Usually , the referee will not call a point off when the noncommittal , but legally , it may be permitted . In competitive matches , it is rare for a referee to disqualify a player . In , some rules are allowed to be Ò pushed Ó by the referees . If the ref erees think it is within a certain range of fair play , they will allow it . This is where the Ò Spirit of the Game Ó differs from actual rules . Many rules that could be viewed as viol ations , are pushed by referees to maintain the spirit of the game . A violation of spirit or Ò unsports manlike conduct Ó will not result in a disqualification . They are also much less likely to result in a point being taken away or a time fault .",Yes,squad-better
"An adolescent 's environment plays a huge role in their identity development . While most adolescent studies are conducted on white , middle class children , studies show that the differences begin to show up from early on . Some social factors and their impact on adolescents development and well being are : ( a ) Gender : girls differ from boys in many ways and in adolescence , girls often face specific challenges that boys do not . Females , because of their anatomy , are subject to a more rapid onset of puberty , and girls do not need as much time to reach their growth spurt . ( b ) Ethnicity : race , religion , and ethnicity have long been recognized as the chief determin ants of how adolescents experience their social world . Ad olescence differs from childhood by age , culture , and ethnicity . Early life , the race and ethnic background of a person , plays a crucial role in their later role . Children raised in a multir",Yes,squad
"In practice , not all rule violations will result in a disqualification as the referee may use their own judgement and is not obligated to stop the match . Usually the referee not only has better judgement in this instance however , they also have a better understanding of how to control the match ( more on this later ) . In other words , they have the best of all possible worlds : they know the rules but are not obligated to follow them . This is the biggest problem when people talk about bad referee decisions . There are two reasons for the referee not to stop the match : 1 . They already know they will not . They have no interest in enforcing the rules and they usually have the final word . This is why they have such a big role in the match . Without this power they would have to stop all sorts of matches and the match referee is the one who decides when to stop a match",Yes,squad
"In practice , not all rule violations will result in a disqualification as the referee may use their own judgement and is not obligated to stop the match . Usually the violation is a yellow card which can lead to a red card to be issued in extreme circumstances . The red card is also referred to by the referee as a disqualification . Also , most important , the referee should never disqualify any player in the middle of the action unless they have to stop the game entirely RULE A PENALTY S EGMENT 4 . QUESTION : WHEN ARE Y ELLOW CARDS GIVEN 4 The referee gives a yellow card to a player when the player is guilty of a serious contravention of the rules . The referee shall not give a yellow card for a minor or trifling infringement . A yellow card must be given to the player when the referee is in a position to view the incident clearly and without doubt . When a player sees the referee",Yes,squad-better
"Regina Hungerford , 56 , denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil College . But a disciplinary panel ruled contact with the victim 's head had resulted in serious injury requiring 23 stitch es . Mr Justice Collins at Cardiff Crown Court today granted the local authority an order to remove Hngerford from the register for five years and order him to pay costs . The victim said : ' I came to sit on the floor but the teacher was playing a video . ' I asked to leave the room and left but the teacher followed me . 'She struck me to the floor . 'One of the teachers then took me by the scruff of the neck . ' I have been in a lot of pain ... _ _ was in a bad state . ' I couldn 't even walk . ' It was all over the news and we had a couple of days off . ' It was my first",Yes,xsum-better
"In 1954 , major Serbian and Croatian writers , linguists and literary critics , backed by Matica srpska and Matica hrvatska signed the Novi Sad Agreement , which in its principles and purpose stated: In this context it is proposed to establish a cultural common wealth to be called Novi Sad as the centre for the study and presentation of Serbian and Croatian languages , literature , culture , history , and arts . The new city had the status of an autonomous district in the Republic Yugoslavia . It had a population of approximately 100 000 with the main industry being in text iles , clothing design and automobile manufacturing .. The city was split into a Serbian and Croatian part . A part was also granted to Monteneg ro .. It was a free city and not an administered municipality . The capital was divided into the central area ( Nov i Sad city center ) and the outlying areas ( Belgrade , Zagreb , Skopje , Dubrovnik , Sar",Yes,squad
"The Bush administration then turned its attention to Iraq , and argued the need to remove Saddam Hussein from power in Iraq had become urgent . Among the stated reasons were that Saddam had been a source of serious problems for the United States for years , including the manufacture and arming of biological and chemical weapons , the smuggling of technology to pursue weapons of mass destruction , violations and threats to cease using the right to self -policing , and involvement in the murder of thousands of his own people . In justifying the invasion , the administration stated , `` Saddam Hussein is in clear violation of the disarm ament regime imposed by the United Nations and he poses an unusual and extraordinary threat to our national security , which the United States and our allies now can not afford to ignore . '' We have a special responsibility to prevent him from acquiring weapons of mass destruction , and to deter him from further weapons of mass destruction",Yes,squad
"An adolescent 's environment plays a huge role in their identity development . While most adolescent studies are conducted on white , middle class children , studies show that the effects are not specific to that group of children . The reason for that is that children of color and those with a poor income are much better represented in prete ens ' study . Ad olesc ents of color may not be accepted by school , peers and peers of white may not accept them for who they are , and a number of factors such as peer role , social pressure , economic factors , and even media play a role in their identity development. < /s >< /i > Some researchers believe that in many cases , peer relationships are a predictor of identity development . This is why high school graduation rates, and also race relations , are important to study as they can be used informally . However , it is important to note that many researchers use",Yes,squad
"Compared to other team sports , the National Football League preseason is very structured . Every NFL team plays exactly four pre-season exhibition games a year , two at home and two on the road during a span of five weeks and the NFL season opens with the regular season opener ( on Monday , September 10 ) on Thursday 's date at home team to host the Green Bay Packers ( at 1 pm Eastern ) . Preseason is really the only time most fans hear about the players they will watch on Sundays during the season in this type of structured way to get a preview of the upcoming season where each team is required to rest and train every single week of practice ( and a good amount of rest in between each game during the five weeks ) . Each team has different rules and regulations during pre- season and is not permitted to practice or play in practices or games with the first day of the regular season",Yes,squad
"The ban was backed by local authorities in Urumqi , state media reported . The move is the latest in a campaign against Islamic clothing and symbols in the mainly Muslim Xinjiang region , home to China 's Han majority . Urumqi is an ancient city , known for its markets and beautiful silk shops , and the vast majority of its residents are Chinese . But China 's minority Uig hers are known for their headscarves and other Islamic clothing and symbols . So the city has become a hot-bed of cultural clash between Muslims and Han Chinese . China 's Ministry of Public Security told U rumqi officials to take steps to preserve public order and safety as the authorities look into the possible existence of a `` hidden radicalism , ' 'Reuters reported . It added that the police have identified more than 5, 000 suspects from the city over recent months and sent more than 5 , 000 police officers to assist local law enforcement , but the campaign continues",Yes,xsum
"An adolescent 's environment plays a huge role in their identity development . While most adolescent studies are conducted on white , middle class children , studies show that the environment has profound impact on identity development . Race , culture , religious beliefs, economic well-be in , physical appearance , geography , school experience , familial roles , gender , and dis ability all impact identity . These influences are unique in the development al time period of ad ole sc ool . During these years , children undergo dramatic physical , social , and intellectual changes related to adolescence identity . Adoles cents are trying to answer the questions ; Ò Who am I ? Ó and Ò Who do i want to be in life ? Ó and much of the answering of these questions and how they are answered is dependent upon their environment and the interactions with those around them . The process of identity development is not something that most people do on their",Yes,squad-better
"In practice , not all rule violations will result in a disqualification as the referee may use their own judgement and is not obligated to stop the match . Usually , the referee will issue verbal warnings followed by a yellow card . The ref could also use his discretion to give a red card ( and thus disqual ify ) a fighter earlier if he feels it mer ited. A fighter who gets a red card will be required to leave the cage immediately . A fighter is required to stop during the match once he has been warned and may not move or engage his opponent . As for judging the fights , the points system used by the UFC is similar to the scoring system used in boxing which is derived from the `` ten point must system as used in boxing . During the rounds , the two fighters will be judged on their ability to control the fight , ability to strike , and ability to control the",Yes,squad-better
"Regina Hungerford , 56 , denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil College . But a disciplinary panel ruled contact with the boy left him with permanent hearing problems. The girl , who teaches the disabled , had left a gap in a lesson when she took a phone call from the boy , ... Continue Reading < eos > 3D video showing her strike now shows him holding a mobile phone when the blow land ed . She is accused of assaulting him when she tried to take away his mobile . ... `` This panel does not believe that this contact was either accidental or a gesture of forgiveness ... In a statement she said the incident was `` a very foolish gesture of forgiveness ... I am very sorry for my actions and very sorry for the injury and disturbance that they caused to the 17 year old ... My actions were not mal icious , I do not have any issues",Yes,xsum-better
"In 1954 , major Serbian and Croatian writers , linguists and literary critics , backed by Matica srpska and Matica hrvatska signed the Novi Sad Agreement , which in its principles rejected nationalism and ethnic nationalism , and called for national freedom in Serbia . The agreement was interpreted as the foundation of an independent Bosnia -Serbia state . During the Yugoslav wars , the Novi Sad Agreement was violated by both nationalists , led by Josip Broz Tito , and communists . In 1991 , Serbian statesmen , politicians , intellectuals and intellectuals from the former Yugoslavia signed an agreement , in which Yugoslavia as a state was transformed into the Republic of Serbia . The Republic of Serbia in the period from 1992 to 2006 also violated the Novi Sad Agreement , which in its principles rejected nationalism , and called for national freedom . After the breakup of the former Yugoslavia there were three Yugoslav countries that , like the Republic of Serbia in the period 1991-2006 , violated the Novi Sad Agreement : Bosnia - Herzegovina , Macedonia , and Montenegro . According to the agreements between the states during the past 20 years , the representatives of the `` Republic of Serbia '' of the period 2004 -present must cease by 15 July 2012 to work on `` national reform '' , to `` revise '' public policies ,.",Yes,squad
"Compared to other team sports , the National Football League preseason is very structured . Every NFL team plays exactly four pre-season exhibition games a year , two at home and two on the road . This year we will see sixteen NFL teams on the same playing field when they kick of the Preseason with the Green Bay Packers . They will play seven home games , four on the road and five in the dome . The rest of the teams will get in on the action . Last year the Green Bay Packers won their pre-season opener by beating the Buffalo Bills 26-7 . The Packers are on the road on the first night of the preseason , so if they beat one team on the road in Jacksonville they would earn another victory . They will play the Cleveland Browns at Lambeau Field , Pittsburgh Steelers at Heinz Field and the New England Patriots at Lambeau Field in the next four games . These four games could set up the first round matchup of the regular seasons . The Pittsburgh Steelers and Cleveland Browns will meet first on the road on September 16 .",Yes,squad
"The Bush administration then turned its attention to Iraq , and argued the need to remove Saddam Hussein from power in Iraq had become urgent . Among the stated reasons was that Iraq was harboring a clandestine weapons program with links to al-Qaeda , which had attacked the United States 239 days earlier . In the days and weeks after Sept. 11 , 2001 , the government released a number of reports and memos on U. S. intelligence agencies Õ belief that both Osama bin Laden and Saddam Hussein were seeking biological , chemical and nuclear weapons . The administration made similar claims about Saddam ' s supposed pursuit of such arms , though experts said they were unsubstantiated , even as the Bush administration was justifying military action against Iraq . Trump and Pye , as well as others , called for congressional action to stop the release of intelligence in this way . < |endoftext| >. < /s >. < /p > < p > on Sept. 11 , 2001 .",Yes,squad-better
"Compared to other team sports , the National Football League preseason is very structured . Every NFL team plays exactly four pre-season exhibition games a year , two at home and two away . They start on August 3 rd and end on August 29 th this year . In the preseason , coaches get a sense of what their roster looks like for next season . Many coaches will also experiment with different lineups , formations , plays and schemes to see what works . The teams play as hard as they need to so to not get injured , but not so hard as to cause further more serious injuries . This is the main purpose of the preseason , it is to try and get as many starters back as possible throughout the long season that follows . Teams also sometimes will play second , even third string players so they can get a look at other younger players they have on the roster . It is a chance for these players to be able to gain experience . During these games , some players that have been practicing with the team for some time will finally get their first chance to go on the field .",Yes,squad-better
"She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992 . DUP leader Arlene Farmer told the crowd , `` Tonight this community will be holding events of remembrance for three teenagers and one man - Martin Doris , Joe Mahon , Kevin McEntee and Martin O'Doherty -. We recall that they died in the dark winter night , shot by the SAS , murdered , murdered , murdered . '' No one was ever charged over Martin Doris , Kevin McEntee , Jose Mahon or Martin O'Doherty 's deaths . For the last two years , the country has been gripped by a national debate about the relationship of the government and police to the working class and young men in particular . In Ireland , as in England , a great public inquiry has heard how hundreds of teenagers have died at the hands of the police and security forces . An angry crowd of up to 700 in Clonoe heard the DUP leader 's remarks outside the local church .",Yes,xsum-better
"Since the construction of its oldest buildings, the university's physical plant has grown substantially. Over the years 29 residence halls have been built to accommodate students and each has been constructed with its own chapel. Many academic building were added together with a system of libraries, the most prominent of which is the Theodore Hesburgh Library, built in 1963 and today containing almost 4 million books. Since 2004, several buildings have been added, including the DeBartolo Performing Arts Center, the Guglielmino Complex, and the Jordan Hall of Science. Additionally, a new residence for men, Duncan Hall, was begun on March 8, 2007, and began accepting residents for the Fall 2008 semester. Ryan Hall was completed and began housing undergraduate women in the fall of 2009. A new engineering building, Stinson-Remick Hall, a new combination Center for Social Concerns/Institute for Church Life building, Geddes Hall, and a law school addition have recently been completed as well. Additionally the new hockey",No,squad
"American comic books have adopted the character type for stories of their own like the mutant-villain Silver Samurai of Marvel Comics. The design of this character preserves the samurai appearance; the villain is “Clad in traditional gleaming samurai armor and wielding an energy charged katana” (Buxton, 2013). Not only does the Silver Samurai make over 350 comic book appearances, the character is playable in several video games, such as Marvel Vs. Capcom 1 and 2. In 2013, the samurai villain was depicted in James Mangold’s film The Wolverine. Ten years before the Wolverine debuted, another film helped pave the way to ensure the samurai were made known to American cinema: A film released in 2003 titled The Last Samurai, starring Tom Cruise, is inspired by the samurai way of life. In the film, Cruise’s character finds himself deeply immersed",No,squad
"A true predator can commonly be known as one that kills and eats another living thing. Whereas other types of predator all harm their prey in some way, this form kills them. Predators may hunt actively for prey in pursuit predation, or sit and wait for prey to approach within striking distance, as in ambush predators. Some predators kill large prey and dismember or chew it prior to eating it, such as a jaguar or a human; others may eat their (usually much smaller) prey whole, as does a bottlenose dolphin swallowing a fish, or a snake, duck or stork swallowing a frog. Some animals that kill both large and small prey for their size (domestic cats and dogs are prime examples) may do either depending upon the circumstances; either would devour a large insect whole but dismember a rabbit. Some predation entails venom that subdues a",No,squad
"In 680 Ibn al-Zubayr fled Medina for Mecca. Hearing about Husayn's opposition to Yazid I, the people of Kufa sent to Husayn asking him to take over with their support. Al-Husayn sent his cousin Muslim bin Agail to verify if they would rally behind him. When the news reached Yazid I, he sent Ubayd-Allah bin Ziyad, ruler of Basrah, with the instruction to prevent the people of Kufa rallying behind Al-Husayn. Ubayd-Allah bin Ziyad managed to disperse the crowd that gathered around Muslim bin Agail and captured him. Realizing Ubayd-Allah bin Ziyad had been instructed to prevent Husayn from establishing support in Kufa, Muslim bin Agail requested a message to be sent to Husayn to prevent his immigration to Kufa. The request was denied and Ubayd-Allah bin Ziyad killed Muslim bin Agail. While",No,squad
"The Treaty of Guadalupe Hidalgo, signed on February 2, 1848, by American diplomat Nicholas Trist and Mexican plenipotentiary representatives Luis G. Cuevas, Bernardo Couto, and Miguel Atristain, ended the war, gave the U.S. undisputed control of Texas, and established the U.S.–Mexican border of the Rio Grande. As news of peace negotiations reached the state, new call to arms began to flare among the people of the state. But as the Mexican officials in Chihuahua heard that General Price was heading back to Mexico with a large force comprising several companies of infantry and three companies of cavalry and one division of light artillery from Santa Fe on February 8, 1848, Ángel Trías sent a message to Sacramento Pass to ask for succession of the area as they understood the war had concluded. General Price, misunderstanding this as a deception by the Mexican forces, continued to advance towards the state capital. On March 16, 1848 Price began negotiations with Ángel",No,squad
"In December 2015, West released a song titled ""Facts"". He announced in January 2016 on Twitter that SWISH would be released on February 11, after releasing new song ""Real Friends"" and a snippet of ""No More Parties in L.A."" with Kendrick Lamar. This also revived the GOOD Fridays initiative in which Kanye releases new singles every Friday. On January 26, 2016, West revealed he had renamed the album from SWISH to Waves, and also announced the premier of his Yeezy Season 3 clothing line at Madison Square Garden. In early 2016, several weeks prior to the release of his new album, West became embroiled in a short-lived social media altercation with rapper Wiz Khalifa on Twitter that eventually involved their mutual ex-partner, Amber Rose, who protested to West's mention of her and Khalifa's child. The feud involved allegations by Rose concerning her sexual relationship with West, and received significant media attention. As of February 2, 2016,",No,squad
"On the other hand, the lack of an effective royal justice system in the Kingdom led to the social conflict known as the Guerras Irmandiñas ('Wars of the brotherhoods'), when leagues of peasants and burghers, with the support of a number of knights, noblemen, and under legal protection offered by the remote king, toppled many of the castles of the Kingdom and briefly drove the noblemen into Portugal and Castile. Soon after, in the late 15th century, in the dynastic conflict between Isabella I of Castile and Joanna La Beltraneja, part of the Galician aristocracy supported Joanna. After Isabella's victory, she initiated an administrative and political reform which the chronicler Jeronimo Zurita defined as ""doma del Reino de Galicia"": 'It was then when the taming of Galicia began, because not just the local lords and knights, but all the people of that nation were the ones against the others very bold and warlike'. These reforms, while establishing a local government and tribunal (the",No,squad
"Terry Eastland, the author who wrote From Ending Affirmative Action: The Case for Colorblind Justice states, ""Most arguments for affirmative action fall into two categories: remedying past discrimination and promoting diversity"". Eastland believes that the founders of affirmative action did not anticipate how the benefits of affirmative action would go to those who did not need it, mostly middle class minorities. Additionally, she argues that affirmative action carries with it a stigma that can create feelings of self-doubt and entitlement in minorities. Eastland believes that affirmative action is a great risk that only sometimes pays off, and that without it we would be able to compete more freely with one another. Libertarian economist Thomas Sowell identified what he says are negative results of affirmative action in his book, Affirmative Action Around the World: An Empirical Study. Sowell writes that affirmative action policies encourage non-preferred groups to designate themselves as members of preferred groups [i.e., primary beneficiaries of affirmative action] to take advantage of group preference",No,squad
"The Royal Assent ceremony takes place in the Senate, as the sovereign is traditionally barred from the House of Commons. On the day of the event, the Speaker of the Senate will read to the chamber a notice from the secretary to the governor general indicating when the viceroy or a deputy thereof will arrive. The Senate thereafter cannot adjourn until after the ceremony. The speaker moves to sit beside the throne, the Mace Bearer, with mace in hand, stands adjacent to him or her, and the governor general enters to take the speaker's chair. The Usher of the Black Rod is then commanded by the speaker to summon the Members of Parliament, who follow Black Rod back to the Senate, the Sergeant-at-Arms carrying the mace of the House of Commons. In the Senate, those from the commons stand behind the bar, while Black Rod proceeds to stand next to",No,squad
